Hello World!
text: 0000000010005302, shared data: 0000000080000000
data in DRAM... making one way cache
1000 points done
1000 points done
Done... printing results
195 9098
134 6687
12 6687
24 6687
49 6687
99 6687
199 6687
142 6687
29 6687
58 6687
117 6687
234 6687
213 6687
171 6687
87 6687
174 6687
93 6687
187 6687
119 6687
238 6687
220 6687
184 6687
113 6687
227 6687
199 6687
143 6687
30 6687
60 6687
121 6687
243 6687
231 6687
207 6687
158 6687
61 6687
122 6687
244 6687
232 6687
209 6687
163 6687
71 6687
142 6687
29 6687
58 6687
117 6687
235 6687
214 6687
173 6687
90 6687
180 6687
105 6687
211 6687
167 6687
79 6687
159 6687
63 6687
126 6687
252 6687
249 6687
243 6687
231 6687
206 6687
157 6687
58 6687
117 6687
235 6687
214 6687
172 6687
88 6687
177 6687
98 6687
196 6687
136 6687
17 6687
35 6687
71 6687
142 6687
29 6687
59 6687
119 6687
239 6687
223 6687
190 6687
124 6687
248 6687
241 6687
227 6687
198 6687
141 6687
27 6687
55 6687
110 6687
220 6687
184 6687
113 6687
226 6687
197 6687
139 6687
22 6687
44 6687
89 6687
179 6687
103 6687
207 6687
158 6687
60 6687
121 6687
243 6687
231 6687
207 6687
158 6687
61 6687
123 6687
247 6687
238 6687
221 6687
186 6687
116 6687
232 6687
209 6687
162 6687
68 6687
136 6687
17 6687
34 6687
68 6687
137 6687
19 6687
38 6687
77 6687
154 6687
52 6687
105 6687
211 6687
166 6687
77 6687
155 6687
55 6687
111 6687
223 6687
191 6687
126 6687
253 6687
250 6687
244 6687
232 6687
208 6687
161 6687
66 6687
132 6687
8 6687
16 6687
32 6687
64 6687
129 6687
3 6808
6 6734
12 6687
24 6687
48 6687
97 6687
195 6687
135 6687
14 6687
29 6687
58 6687
117 6687
234 6687
212 6687
168 6687
81 6687
162 6687
68 6687
136 6687
17 6687
35 6687
71 6687
143 6687
30 6687
60 6687
120 6687
240 6687
225 6687
194 6687
132 6687
8 6687
16 6687
33 6687
66 6687
133 6687
11 6687
22 6687
45 6687
90 6687
180 6687
104 6687
208 6687
161 6687
67 6687
135 6687
14 6687
29 6687
58 6687
117 6687
234 6687
213 6687
170 6687
84 6687
169 6687
83 6687
166 6687
76 6687
153 6687
51 6687
102 6687
205 6687
155 6687
54 6687
109 6687
219 6687
183 6687
110 6687
220 6687
185 6687
114 6687
228 6687
200 6687
145 6687
35 6687
71 6687
142 6687
29 6687
59 6687
119 6687
239 6687
222 6687
189 6687
123 6687
247 6687
238 6687
221 6687
187 6687
119 6687
238 6687
220 6687
184 6687
112 6687
225 6687
194 6687
132 6687
8 6687
16 6687
33 6687
66 6687
132 6687
8 6687
17 6687
35 6687
71 6687
142 6687
29 6687
58 6687
116 6687
232 6687
208 6687
161 6687
66 6687
133 6687
10 6687
21 6687
42 6687
85 6687
170 6687
84 6687
168 6687
80 6687
160 6687
64 6687
129 6687
3 6806
7 6710
14 6687
28 6687
56 6687
113 6687
227 6687
198 6687
140 6687
25 6687
51 6687
103 6687
207 6687
159 6687
63 6687
126 6687
253 6687
251 6687
247 6687
238 6687
220 6687
185 6687
115 6687
231 6687
207 6687
158 6687
61 6687
122 6687
244 6687
232 6687
208 6687
160 6687
64 6687
128 6687
1 6852
2 6834
4 6792
9 6687
19 6687
39 6687
79 6687
159 6687
63 6687
126 6687
253 6687
251 6687
246 6687
237 6687
219 6687
183 6687
111 6687
222 6687
189 6687
122 6687
244 6687
233 6687
211 6687
166 6687
76 6687
153 6687
50 6687
100 6687
201 6687
146 6687
36 6687
72 6687
144 6687
33 6687
67 6687
134 6687
13 6687
27 6687
54 6687
108 6687
216 6687
176 6687
97 6687
195 6687
135 6687
15 6687
31 6687
62 6687
124 6687
248 6687
240 6687
224 6687
192 6687
129 6687
2 6828
4 6784
9 6687
18 6687
36 6687
73 6687
146 6687
37 6687
75 6687
150 6687
44 6687
88 6687
176 6687
97 6687
195 6687
135 6687
14 6687
29 6687
59 6687
118 6687
236 6687
216 6687
177 6687
98 6687
197 6687
139 6687
22 6687
44 6687
88 6687
177 6687
98 6687
196 6687
136 6687
16 6687
33 6687
66 6687
132 6687
8 6687
16 6687
32 6687
64 6687
128 6687
0 6878
0 6877
1 6852
2 6836
5 6760
11 6687
22 6687
44 6687
89 6687
178 6687
101 6687
203 6687
151 6687
46 6687
93 6687
186 6687
117 6687
235 6687
214 6687
172 6687
88 6687
176 6687
