Hello World!
text: 0000000010005302, shared data: 0000000080000000
data in DRAM... making one way cache
1000 points done
Done... printing results
67 3223
38 2543
12 2543
24 2543
81 2543
3 2662
7 2565
14 2543
61 2543
58 2543
53 2543
10 2543
21 2543
43 2543
87 2543
14 2543
61 2543
27 2543
87 2543
78 2543
92 2543
24 2543
49 2543
3 2662
39 2543
15 2543
62 2543
28 2543
57 2543
19 2543
39 2543
15 2543
62 2543
29 2543
58 2543
20 2543
72 2543
81 2543
3 2662
7 2565
46 2543
93 2543
26 2543
53 2543
43 2543
22 2543
77 2543
58 2543
52 2543
41 2543
19 2543
39 2543
79 2543
63 2543
63 2543
62 2543
60 2543
57 2543
19 2543
39 2543
14 2543
61 2543
58 2543
53 2543
11 2543
54 2543
12 2543
24 2543
49 2543
34 2543
4 2640
40 2543
81 2543
3 2662
7 2566
46 2543
29 2543
59 2543
55 2543
15 2543
31 2543
94 2543
28 2543
88 2543
17 2543
67 2543
70 2543
45 2543
91 2543
23 2543
78 2543
92 2543
88 2543
17 2543
34 2543
5 2616
43 2543
86 2543
76 2543
57 2543
51 2543
7 2566
15 2543
30 2543
92 2543
25 2543
83 2543
71 2543
79 2543
94 2543
29 2543
91 2543
23 2543
46 2543
93 2543
90 2543
20 2543
72 2543
49 2543
34 2543
4 2640
40 2543
81 2543
66 2543
36 2543
9 2543
19 2543
70 2543
